character,eta_age,eta_region,eta_gender
Anakin Skywalker,0.04557417281113041,0.0060174381085653286,0.010626473219252591
Boba Fett,0.031212228739553455,0.0068932833652773,0.017907603275220473
C-3P0,0.030075965389026422,0.014103628182633372,0.039662194922481235
Darth Vader,0.016252826993803517,0.006039242346948483,0.03218948577487966
Emperor Palpatine,0.0007007463872026014,0.01478094671101304,0.016153552965349954
Han Solo,0.013998811513915459,0.004964892319168604,3.5795620266092442e-06
Jar-Jar Binks,0.0361938785206572,0.00952225452353302,0.027408794923494198
Lando Calrissian,0.004162868840114839,0.009828437991093718,0.0004096147514492001
Luke Skywalker,0.037546600086653566,0.014518744406371785,0.0012671895229963263
Obi Wan Kenobi,0.007692033281617794,0.005583274745688088,3.9606564990249694e-05
Padme Amidala,0.00578569757555637,0.015119220528282386,0.004892706302689715
Princess Leia Organa,0.017603171810565952,0.016907810087233445,0.00179474034834502
R2-D2,0.00401885687184781,0.007170992367413988,0.03328774028461535
Yoda,0.002234290413164711,0.0033755594164900744,0.006938558407026845
